Unnamed: 0,City,State,Lat,Lng,Airport Name,Airport Address,Airport Rating,Airport Code,Cheapest_Return_Airfare
0,New York City,New York,40.7127753,-74.0059728,Newark Liberty International Airport,"3 Brewster Rd, Newark",3.2,EWR,117
1,Los Angeles,California,34.0522342,-118.24368490000002,Los Angeles International Airport,"1 World Way, Los Angeles",3.5,LAX,79
2,Chicago,Illinois,41.8781136,-87.62979820000001,O'Hare International Airport,"10000 W O'Hare Ave, Chicago",3.6,ORD,173
3,Houston,Texas,29.7604267,-95.36980279999999,William P. Hobby Airport,"7800 Airport Blvd, Houston",4.0,HOU,378
4,Philadelphia,Pennsylvania,39.9525839,-75.1652215,Philadelphia International Airport,"8000 Essington Ave, Philadelphia",3.3,PHL,93
5,Phoenix,Arizona,33.4483771,-112.07403729999999,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",3.9,PHX,102
6,San Antonio,Texas,29.4241219,-98.4936282,San Antonio International Airport,"9800 Airport Blvd, San Antonio",4.0,SAT,112
7,San Diego,California,32.715738,-117.1610838,San Diego International Airport,"3225 N Harbor Dr, San Diego",3.9,SAN,94
8,Dallas,Texas,32.7766642,-96.7969879,Dallas/Fort Worth International Airport,"2400 Aviation Dr, DFW Airport",3.8,SJC,156
9,San Jose,California,37.338208200000004,-121.88632859999998,San Francisco International Airport,"798 E Atherton Dr, Manteca",4.1,SFO,72
10,Austin,Texas,30.267153000000004,-97.7430608,Austin-Bergstrom International Airport,"3600 Presidential Blvd, Austin",4.0,AUS,104
11,Jacksonville,Florida,30.3321838,-81.655651,Jacksonville International Airport,"2400 Yankee Clipper Dr, Jacksonville",4.2,JAX,160
12,San Francisco,California,37.7749295,-122.4194155,San Francisco International Airport,"799 E Atherton Dr, Manteca",4.1,SFO,72
13,Indianapolis,Indiana,39.768403,-86.158068,Indianapolis International Airport,"7800 Col. H. Weir Cook Memorial Dr, Indianapolis",4.3,ATL,92
14,Columbus,Ohio,39.9611755,-82.9987942,John Glenn Columbus International Airport,"4600 International Gateway, Columbus",3.9,CMH,96
15,Fort Worth,Texas,32.7554883,-97.3307658,Dallas/Fort Worth International Airport,"2400 Aviation Dr, DFW Airport",3.8,DFW,93
16,Charlotte,North Carolina,35.2270869,-80.8431267,Charlotte Douglas International Airport,"5501 Josh Birmingham Pkwy, Charlotte",3.5,CLT,79
17,Seattle,Washington,47.6062095,-122.33207079999998,Seattle-Tacoma International Airport,"17801 International Blvd, Seattle",3.9,SEA,97
18,Denver,Colorado,39.739235799999996,-104.990251,Denver International Airport,"8500 Peña Blvd, Denver",4.0,DEN,49
19,El Paso,Texas,31.7618778,-106.48502169999999,El Paso International Airport,"6701 Convair Rd, El Paso",4.1,ELP,185
20,Detroit,Michigan,42.331427000000005,-83.0457538,Detroit Metropolitan Wayne County Airport,Detroit,4.1,DTW,88
21,Washington,District of Columbia,38.9071923,-77.03687070000001,Dulles International Airport,"1 Saarinen Cir, Dulles",3.9,IAD,nan
22,Boston,Massachusetts,42.360082500000004,-71.0588801,Boston Logan International Airport,"1 Harborside Dr, Boston",3.9,BOS,81
23,Memphis,Tennessee,35.1495343,-90.0489801,Memphis International Airport,"2491 Winchester Rd, Memphis",3.6,MEM,113
24,Nashville,Tennessee,36.1626638,-86.78160159999999,Nashville International Airport,"1 Terminal Dr, Nashville",4.1,BNA,93
25,Portland,Oregon,45.523062200000005,-122.6764815,Portland International Airport,"7000 NE Airport Way, Portland",4.5,PDX,224
26,Oklahoma City,Oklahoma,35.4675602,-97.5164276,Will Rogers World Airport,"7100 Terminal Dr, Oklahoma City",4.2,OKC,101
27,Las Vegas,Nevada,36.169941200000004,-115.13982959999998,McCarran International Airport,"5757 Wayne Newton Blvd, Las Vegas",3.9,LAS,80
28,Baltimore,Maryland,39.2903848,-76.6121893,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,4.0,BWI,nan
29,Louisville,Kentucky,38.252664700000004,-85.7584557,Louisville International Airport,"600 Terminal Dr, Louisville",4.0,SDF,nan
30,Milwaukee,Wisconsin,43.0389025,-87.9064736,General Mitchell International Airport,"5300 S Howell Ave, Milwaukee",4.2,MKE,164
31,Albuquerque,New Mexico,35.0843859,-106.65042199999999,Albuquerque International Sunport,"2200 Sunport Blvd, Albuquerque",4.1,ABQ,nan
32,Tucson,Arizona,32.2226066,-110.9747108,Tucson International Airport,"7250 S Tucson Blvd, Tucson",4.1,TUS,nan
33,Fresno,California,36.737798100000006,-119.78712469999999,Fresno Yosemite International Airport,"5175 E Clinton Way, Fresno",3.9,FAT,nan
34,Sacramento,California,38.5815719,-121.49439960000001,Sacramento International Airport,"6900 Airport Blvd, Sacramento",4.1,SMF,86
35,Kansas City,Missouri,39.0997265,-94.5785667,Kansas City International Airport,Kansas City,3.2,MCI,99
36,Long Beach,California,33.770050399999995,-118.1937395,Los Angeles International Airport,"1 World Way, Los Angeles",3.5,LAX,79
37,Mesa,Arizona,33.4151843,-111.83147240000001,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",3.9,PHX,102
38,Atlanta,Georgia,33.7489954,-84.3879824,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Pkwy, Atlanta",3.9,HNL,345
39,Colorado Springs,Colorado,38.8338816,-104.82136340000001,Colorado Springs Airport,"7770 Milton E Proby Pkwy, Colorado Springs",4.3,COS,nan
40,Virginia Beach,Virginia,36.8529263,-75.977985,Norfolk International Airport,"2200 Norview Ave, Norfolk",3.6,ORF,119
