Hotel,Rating,City,State,Country,Price
Artezen Hotel,4.0,New York,NY,us,87.12
Fairfield Inn & Suites by Marriott/World Trade Center Area,3.0,New York,NY,us,62.3
World Center Hotel,4.0,New York,NY,us,79.2
"Club Quarters Hotel, World Trade Center",4.0,New York,NY,us,79.2
Aloft Manhattan Downtown - Financial District,3.0,New York,NY,us,68.4
Night Hotel Broadway,2.5,New York,NY,us,101.09
"Gild Hall, A Thompson Hotel",4.5,New York,NY,us,96.75
Walker Hotel Tribeca,3.5,New York,NY,us,83.33
Musical district Downtown LA Rentals,3.5,Los Angeles,CA,us,75.78
L.A Financial District Rentals,3.5,Los Angeles,CA,us,70.38
Omni Los Angeles Hotel at California Plaza,4.5,Los Angeles,CA,us,119.0
Miyako Hotel Los Angeles,3.0,Los Angeles,CA,us,120.0
The Los Angeles Athletic Club,3.5,Los Angeles,CA,us,136.8
Kawada Hotel,3.0,Los Angeles,CA,us,76.32
Little Tokyo Hotel,2.0,Los Angeles,CA,us,64.26
Millennium Biltmore Los Angeles,4.0,Los Angeles,CA,us,98.04
Congress Plaza Hotel,3.5,Chicago,IL,us,76.23
La Quinta Inn & Suites by Wyndham Chicago Downtown,3.0,Chicago,IL,us,75.65
Royal Sonesta Chicago Riverfront,4.0,Chicago,IL,us,82.69
Travelodge by Wyndham Downtown Chicago,2.0,Chicago,IL,us,84.15
Silversmith Hotel Chicago Downtown,4.0,Chicago,IL,us,100.08
Old Chicago Inn,2.0,Chicago,IL,us,67.5
Virgin Hotels Chicago,4.5,Chicago,IL,us,120.95
Best Western Grant Park Hotel,2.5,Chicago,IL,us,54.23
Club Quarters Hotel in Houston,4.0,Houston,TX,us,75.65
The Whitehall Houston,4.0,Houston,TX,us,127.05
The Lancaster Hotel,4.0,Houston,TX,us,141.35
Hyatt Regency Houston,4.0,Houston,TX,us,135.15
Best Western Plus Downtown Inn & Suites,3.0,Houston,TX,us,119.25
Holiday Inn Houston Downtown,3.0,Houston,TX,us,93.13
Le Meridien Houston Downtown,4.0,Houston,TX,us,120.3
Residence Inn by Marriott Houston Downtown/Convention Center,3.0,Houston,TX,us,84.15
ROOST Rittenhouse,4.0,Philadelphia,PA,us,126.41
Club Quarters Hotel in Philadelphia,4.0,Philadelphia,PA,us,80.19
The Windsor Suites,4.0,Philadelphia,PA,us,126.65
ROOST Midtown,4.0,Philadelphia,PA,us,141.37
Warwick Hotel Rittenhouse Square,4.0,Philadelphia,PA,us,118.15
The Lighthouse Walk to Independence Hall Sun-drenched Apt,3.5,Philadelphia,PA,us,83.68
Loews Philadelphia Hotel,4.0,Philadelphia,PA,us,111.75
Sonesta Philadelphia Rittenhouse Square,4.0,Philadelphia,PA,us,113.98
Hyatt Regency Phoenix,4.0,Phoenix,AZ,us,152.15
Kimpton Hotel Palomar Phoenix Cityscape,4.0,Phoenix,AZ,us,128.55
Hotel San Carlos - Downtown Convention Center,3.0,Phoenix,AZ,us,125.28
Hampton Inn & Suites Phoenix Downtown,3.0,Phoenix,AZ,us,95.2
Holiday Inn Express & Suites Phoenix Dwtn - State Capitol,2.5,Phoenix,AZ,us,107.1
Extend A Suites Tempe,2.5,Tempe,AZ,us,62.99
Best Western Downtown Phoenix,2.5,Phoenix,AZ,us,151.68
Travelodge by Wyndham Phoenix Downtown,2.0,Phoenix,AZ,us,77.28
Best Western Premier Historic Travelers Hotel Alamo Riverwalk,3.0,San Antonio,TX,us,91.26
Wyndham San Antonio River Walk,4.0,San Antonio,TX,us,109.81
La Quinta Inn & Suites by Wyndham San Antonio Downtown,2.5,San Antonio,TX,us,109.25
Days Inn by Wyndham San Antonio Alamo/Riverwalk,2.0,San Antonio,TX,us,53.2
Hotel Valencia Riverwalk,4.0,San Antonio,TX,us,154.98
Riverwalk Plaza,4.0,San Antonio,TX,us,158.85
Red Roof Inn PLUS+ San Antonio Downtown - Riverwalk,2.5,San Antonio,TX,us,62.25
Americas Best Value Inn Riverwalk Downtown Market Square,3.0,San Antonio,TX,us,40.61
