city,lat,lng,dateTime,sunrise,sunset,pressure,humidity,wind_speed (MPH),low_temp (degF),high_temp (degF),descriptor
New York City,40.7127753,-74.0059728,11-Mar-2021,(06:13:55.000000),(17:58:13.000000),1024,46,9.31,43.79,64.15,Clouds
New York City,40.7127753,-74.0059728,12-Mar-2021,(06:12:16.000000),(17:59:17.000000),1021,34,8.55,46.45,60.03,Rain
New York City,40.7127753,-74.0059728,13-Mar-2021,(06:10:38.000000),(18:00:22.000000),1028,22,8.08,32.49,48.34,Clear
New York City,40.7127753,-74.0059728,14-Mar-2021,(07:08:59.000000),(19:01:26.000000),1016,36,17.85,34.5,52.54,Clear
New York City,40.7127753,-74.0059728,15-Mar-2021,(07:07:20.000000),(19:02:30.000000),1029,12,5.59,26.19,41.88,Clear
New York City,40.7127753,-74.0059728,16-Mar-2021,(07:05:40.000000),(19:03:34.000000),1018,92,18.92,35.83,42.73,Rain
New York City,40.7127753,-74.0059728,17-Mar-2021,(07:04:00.000000),(19:04:37.000000),1010,55,14.67,41.7,50.99,Clouds
New York City,40.7127753,-74.0059728,18-Mar-2021,(07:02:20.000000),(19:05:41.000000),1018,48,0.58,38.88,49.96,Rain
Los Angeles,34.0522342,-118.24368490000002,11-Mar-2021,(09:08:26.000000),(20:57:31.000000),1018,44,7.38,48.65,56.8,Rain
Los Angeles,34.0522342,-118.24368490000002,12-Mar-2021,(09:07:06.000000),(20:58:18.000000),1020,38,7.96,49.14,59.05,Clouds
Los Angeles,34.0522342,-118.24368490000002,13-Mar-2021,(09:05:45.000000),(20:59:05.000000),1023,39,4.5,50.72,65.1,Clear
Los Angeles,34.0522342,-118.24368490000002,14-Mar-2021,(10:04:23.000000),(21:59:51.000000),1020,45,8.75,52.77,64.72,Clear
Los Angeles,34.0522342,-118.24368490000002,15-Mar-2021,(10:03:01.000000),(22:00:38.000000),1015,62,8.52,52.83,60.28,Clouds
Los Angeles,34.0522342,-118.24368490000002,16-Mar-2021,(10:01:39.000000),(22:01:24.000000),1015,27,6.62,49.64,62.01,Clear
Los Angeles,34.0522342,-118.24368490000002,17-Mar-2021,(10:00:17.000000),(22:02:10.000000),1017,20,7.72,53.02,67.98,Clouds
Los Angeles,34.0522342,-118.24368490000002,18-Mar-2021,(09:58:55.000000),(22:02:56.000000),1017,21,7.76,58.6,72.59,Clear
Chicago,41.8781136,-87.62979820000001,11-Mar-2021,(07:08:45.000000),(18:52:18.000000),1018,50,14.2,44.11,58.15,Rain
Chicago,41.8781136,-87.62979820000001,12-Mar-2021,(07:07:04.000000),(18:53:26.000000),1032,43,3.62,38.14,47.08,Clouds
Chicago,41.8781136,-87.62979820000001,13-Mar-2021,(07:05:22.000000),(18:54:34.000000),1032,40,3.87,36.16,48.18,Clouds
Chicago,41.8781136,-87.62979820000001,14-Mar-2021,(08:03:39.000000),(19:55:41.000000),1030,73,11.05,39.63,42.93,Clouds
Chicago,41.8781136,-87.62979820000001,15-Mar-2021,(08:01:57.000000),(19:56:49.000000),1020,86,13.76,31.95,38.26,Rain
Chicago,41.8781136,-87.62979820000001,16-Mar-2021,(08:00:14.000000),(19:57:56.000000),1006,79,8.12,37.71,43.47,Rain
Chicago,41.8781136,-87.62979820000001,17-Mar-2021,(07:58:31.000000),(19:59:03.000000),1018,70,7.83,36.14,43.14,Clouds
